notify,00002a63-0000-1000-8000-00805f9b34fb (Handle: 21): Cycling Power Measurement,bytearray(b'0\x000\x00u$\x03\x00T5\x19\t\xb9\x98')
notify,00002a5b-0000-1000-8000-00805f9b34fb (Handle: 13): CSC Measurement,bytearray(b'\x03u$\x03\x00\xaa\x9a\x19\t\xb9\x98')
notify,00002ad2-0000-1000-8000-00805f9b34fb (Handle: 31): Indoor Bike Data,bytearray(b'T\x08\xd8\x05\xa4\x00\xd5K\x000\x00\xcc\x11')
notify,00002a5b-0000-1000-8000-00805f9b34fb (Handle: 13): CSC Measurement,bytearray(b'\x03\xca$\x03\x00\x8b\x9e\x1a\t\xa1\x9c')
notify,00002a63-0000-1000-8000-00805f9b34fb (Handle: 21): Cycling Power Measurement,bytearray(b'0\x000\x00\xca$\x03\x00\x16=\x1a\t\xa1\x9c')
notify,00002ad2-0000-1000-8000-00805f9b34fb (Handle: 31): Indoor Bike Data,bytearray(b'T\x08\xcd\x05z\x00\xddK\x000\x00\xcc\x11')
notify,00002a5b-0000-1000-8000-00805f9b34fb (Handle: 13): CSC Measurement,bytearray(b'\x03\x1f%\x03\x00w\xa2\x1b\t\xa3\xa1')
notify,00002a63-0000-1000-8000-00805f9b34fb (Handle: 21): Cycling Power Measurement,bytearray(b'0\x000\x00\x1f%\x03\x00\xeeD\x1b\t\xa3\xa1')
notify,00002ad2-0000-1000-8000-00805f9b34fb (Handle: 31): Indoor Bike Data,bytearray(b'T\x08\xc0\x05^\x00\xe5K\x00/\x00\xcc\x11')
notify,00002a5b-0000-1000-8000-00805f9b34fb (Handle: 13): CSC Measurement,bytearray(b'\x03s%\x03\x00[\xa6\x1b\t\xa3\xa1')
notify,00002a63-0000-1000-8000-00805f9b34fb (Handle: 21): Cycling Power Measurement,bytearray(b'0\x00/\x00s%\x03\x00\xb6L\x1b\t\xa3\xa1')
notify,00002ad2-0000-1000-8000-00805f9b34fb (Handle: 31): Indoor Bike Data,bytearray(b'T\x08\xb7\x05^\x00\xedK\x00/\x00\xcc\x11')
notify,00002a5b-0000-1000-8000-00805f9b34fb (Handle: 13): CSC Measurement,bytearray(b'\x03\xc7%\x03\x00J\xaa\x1c\t\xbb\xa9')
notify,00002a63-0000-1000-8000-00805f9b34fb (Handle: 21): Cycling Power Measurement,bytearray(b'0\x00/\x00\xc7%\x03\x00\x94T\x1c\t\xbb\xa9')
notify,00002ad2-0000-1000-8000-00805f9b34fb (Handle: 31): Indoor Bike Data,bytearray(b'T\x08\xaa\x05:\x00\xf5K\x00.\x00\xcc\x11')
notify,00002a5b-0000-1000-8000-00805f9b34fb (Handle: 13): CSC Measurement,bytearray(b'\x03\x19&\x03\x00-\xae\x1c\t\xbb\xa9')
notify,00002a63-0000-1000-8000-00805f9b34fb (Handle: 21): Cycling Power Measurement,bytearray(b'0\x00.\x00\x19&\x03\x00Z\\\x1c\t\xbb\xa9')
notify,00002ad2-0000-1000-8000-00805f9b34fb (Handle: 31): Indoor Bike Data,bytearray(b'T\x08\x98\x05:\x00\xfcK\x00-\x00\xcc\x11')
notify,00002a5b-0000-1000-8000-00805f9b34fb (Handle: 13): CSC Measurement,bytearray(b'\x03k&\x03\x00\x19\xb2\x1d\t\xe9\xb1')
notify,00002a63-0000-1000-8000-00805f9b34fb (Handle: 21): Cycling Power Measurement,bytearray(b'0\x00-\x00k&\x03\x002d\x1d\t\xe9\xb1')
notify,00002ad2-0000-1000-8000-00805f9b34fb (Handle: 31): Indoor Bike Data,bytearray(b'T\x08\x8b\x05:\x00\x04L\x00-\x00\xcc\x11')
notify,00002a5b-0000-1000-8000-00805f9b34fb (Handle: 13): CSC Measurement,bytearray(b'\x03\xbc&\x03\x00\xfb\xb5\x1d\t\xe9\xb1')
notify,00002a63-0000-1000-8000-00805f9b34fb (Handle: 21): Cycling Power Measurement,bytearray(b'0\x00-\x00\xbc&\x03\x00\xf6k\x1d\t\xe9\xb1')
notify,00002ad2-0000-1000-8000-00805f9b34fb (Handle: 31): Indoor Bike Data,bytearray(b'T\x08\x86\x05:\x00\x0cL\x00-\x00\xcc\x11')
notify,00002a5b-0000-1000-8000-00805f9b34fb (Handle: 13): CSC Measurement,"bytearray(b""\x03\r\'\x03\x00\xe2\xb9\x1e\t\xd7\xb9"")"
notify,00002a63-0000-1000-8000-00805f9b34fb (Handle: 21): Cycling Power Measurement,"bytearray(b""0\x00,\x00\r\'\x03\x00\xc4s\x1e\t\xd7\xb9"")"
notify,00002ad2-0000-1000-8000-00805f9b34fb (Handle: 31): Indoor Bike Data,"bytearray(b'T\x08\x81\x05<\x00\x13L\x00,\x00\xcc\x11')"
notify,00002a5b-0000-1000-8000-00805f9b34fb (Handle: 13): CSC Measurement,"bytearray(b""\x03^\'\x03\x00\xc9\xbd\x1e\t\xd7\xb9"")"
notify,00002a63-0000-1000-8000-00805f9b34fb (Handle: 21): Cycling Power Measurement,"bytearray(b""0\x00,\x00^\'\x03\x00\x92{\x1e\t\xd7\xb9"")"
notify,00002ad2-0000-1000-8000-00805f9b34fb (Handle: 31): Indoor Bike Data,bytearray(b'T\x08\x88\x05<\x00\x1bL\x00-\x00\xcc\x11')
notify,00002a5b-0000-1000-8000-00805f9b34fb (Handle: 13): CSC Measurement,"bytearray(b""\x03\xb2\'\x03\x00\xb9\xc1\x1e\t\xd7\xb9"")"
notify,00002a63-0000-1000-8000-00805f9b34fb (Handle: 21): Cycling Power Measurement,"bytearray(b""0\x00-\x00\xb2\'\x03\x00r\x83\x1e\t\xd7\xb9"")"
notify,00002ad2-0000-1000-8000-00805f9b34fb (Handle: 31): Indoor Bike Data,bytearray(b'T\x08\xa2\x05<\x00#L\x00.\x00\xcc\x11')
notify,00002a5b-0000-1000-8000-00805f9b34fb (Handle: 13): CSC Measurement,bytearray(b'\x03\x06(\x03\x00\x9b\xc5\x1f\td\xc3')
notify,00002a63-0000-1000-8000-00805f9b34fb (Handle: 21): Cycling Power Measurement,bytearray(b'0\x00/\x00\x06(\x03\x006\x8b\x1f\td\xc3')
notify,00002ad2-0000-1000-8000-00805f9b34fb (Handle: 31): Indoor Bike Data,bytearray(b'T\x08\xbc\x052\x00+L\x00/\x00\xcc\x11')
